"","counties.with.10.years.data","stability.time","absolute.range.min.value","absolute.range.max.value","relative.range.min.value","relative.range.max.value","proportion.significant","proportion.wrong"
"1","Albany",5,-0.644340217286346,0.64822178486036,-0.567649851884605,0.724912150262101,0,0
"2","Cattaraugus",7,-0.473348939740231,0.717195363243086,-0.665731162631905,0.524813140351412,0.0833333333333333,0.0833333333333333
"3","Chemung",7,-0.268687622750647,1.12166420291173,-0.555184362583986,0.835167463078392,0.222222222222222,0.777777777777778
"4","Columbia",8,-1.50222768002266,1.10163363201717,-1.43221476572342,1.17164654631642,0.0444444444444444,0.0444444444444444
"5","Dutchess",6,-0.970965313514904,0.776772250812075,-1.11051950993916,0.637218054387822,0.133333333333333,0.133333333333333
"6","Onondaga",7,-1.68645431009024,1.28879604947216,-1.69605717738622,1.27919318217618,0.0344827586206897,0.0344827586206897
"7","Orange",8,-0.875991436927388,1.36873662019904,-1.07916172360554,1.16556633352089,0.177777777777778,0.844444444444444
"8","Oswego",6,-1.23000032880048,1.43213324996691,-1.37747525697064,1.28465832179676,0.0444444444444444,0.0444444444444444
"9","Rockland",6,-1.63307948668698,1.45653035299118,-1.71942806298548,1.37018177669268,0.0888888888888889,0.0888888888888889
"10","Saratoga",5,-1.17779484956635,0.956369417847948,-1.25514384950511,0.879020417909186,0,0
"11","Schuyler",8,-0.488726004012422,0.989670158125406,-0.741308488813358,0.737087673324471,0.333333333333333,0.666666666666667
"12","Sullivan",5,-0.979083525876059,1.29565386590919,-1.1906842442562,1.08405314752905,0.133333333333333,0.866666666666667
"13","Ulster",7,-1.24959004551375,1.01841588709385,-1.39204331070227,0.875962621905333,0.133333333333333,0.133333333333333
"14","Westchester",6,-1.04203116389928,1.47457240174435,-1.19154386863362,1.32505969701001,0.0222222222222222,0.0222222222222222
